DR_NO,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,LOCATION,LAT,LON
221307103,28/02/2022,11:20,13,Newton,1362,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0345 0447 2024 0416 0342 1822,27,F,B,SIDEWALK,306,ROCK/THROWN OBJECT,IC,Invest Cont,5100    AVALON                       BL,33.9981,-118.2697
220206460,28/02/2022,8:15,2,Rampart,265,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 0416 0446 0429 0327 0445 0432 0334 0913 1817,46,M,H,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2000 W  8TH                          ST,34.0544,-118.2767
220107398,28/02/2022,6:30,1,Central,128,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 1822 1402 0411 0400 0444,48,M,H,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,1ST                          ST,34.049,-118.2381
221406886,28/02/2022,19:10,14,Pacific,1415,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,29,M,W,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1700    PENMAR                       AV,34.0028,-118.4573
221207376,28/02/2022,8:00,12,77th Street,1252,510,VEHICLE - STOLEN,0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,76TH,33.9709,-118.3177
220806513,28/02/2022,13:40,8,West LA,806,354,THEFT OF IDENTITY,929,56,F,W,BANK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1100    ROBERTO                      LN,34.0927,-118.459
221006191,28/02/2022,17:00,10,West Valley,1027,624,BATTERY - SIMPLE ASSAULT,1300 0919 1822 1309 0416 1312 0446 0400 1414,27,M,H,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,6800    BALBOA                       BL,34.1975,-118.5099
221006265,28/02/2022,13:30,10,West Valley,1024,624,BATTERY - SIMPLE ASSAULT,0913 0444 1804 0400 0500,8,F,H,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,6700    RHEA                         AV,34.1919,-118.5415
221806678,28/02/2022,19:10,18,Southeast,1802,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 1300 0411 0400,37,F,H,SIDEWALK,223,UNKNOWN TYPE CUTTING INSTRUMENT,IC,Invest Cont,100 W  87TH                         ST,33.9586,-118.2739
221307156,28/02/2022,12:15,13,Newton,1373,210,ROBBERY,1815 1258 1824 2024 0342 0344 0446 0913,13,F,B,JUNIOR HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,600 E  56TH                         ST,33.9915,-118.2652
220306773,28/02/2022,13:00,3,Southwest,358,761,BRANDISH WEAPON,1240 1309 0334 0312 1822 0202 0216,41,F,H,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,S  FIGUEROA                     ST,34.022,-118.28
221307112,28/02/2022,23:25,13,Newton,1391,433,DRIVING WITHOUT OWNER CONSENT (DWOC),0,15,M,B,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,300 W  70TH                         ST,33.9765,-118.2783
220506286,28/02/2022,15:30,5,Harbor,564,510,VEHICLE - STOLEN,0,0,X,X,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,200 W  5TH                          ST,33.7403,-118.2814
220506237,28/02/2022,7:00,5,Harbor,557,510,VEHICLE - STOLEN,0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,700 W  2ND                          ST,33.7424,-118.2923
221806642,28/02/2022,1:30,18,Southeast,1802,210,ROBBERY,0202 0344 1822 1300,36,M,H,GAS STATION,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,8600 S  FIGUEROA                     ST,33.9601,-118.2827
221406762,28/02/2022,0:30,14,Pacific,1494,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,0,X,X,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,6300 W  CENTURY                      BL,33.9456,-118.3963
220506274,28/02/2022,8:00,5,Harbor,504,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0416 0913 1309 1206 2002 1310 0408 0421,26,F,W,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,19500    NORMANDIE                    AV,33.8542,-118.2992
221307129,28/02/2022,8:53,13,Newton,1372,920,KIDNAPPING - GRAND ATTEMPT,0400 0432 1309 1822 0448 0336,2,F,H,"PORCH, RESIDENTIAL",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,200 E  54TH                         ST,33.9934,-118.2714
220405930,28/02/2022,23:00,4,Hollenbeck,427,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1300 1307,54,F,H,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,4500    BOWMAN                       BL,34.0815,-118.186
220506278,28/02/2022,19:00,5,Harbor,558,510,VEHICLE - STOLEN,0,0,X,X,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,BEACON                       ST,33.746,-118.2802
221506292,28/02/2022,3:39,15,N Hollywood,1521,110,CRIMINAL HOMICIDE,1100 1420 1309 0430,35,M,B,STREET,102,HAND GUN,IC,Invest Cont,6900    FULTON                       AV,34.1961,-118.4225
220906254,28/02/2022,19:30,9,Van Nuys,905,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307 0913,51,M,O,"VEHICLE, PASSENGER/TRUCK",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,14500    VALERIO                      ST,34.2048,-118.4487
221706037,28/02/2022,21:00,17,Devonshire,1764,888,TRESPASSING,0358 1501,53,M,O,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,19600    BALLINGER                    ST,34.2435,-118.5607
220107549,28/02/2022,4:40,1,Central,134,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 2032 0344,25,M,H,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,300 S  SPRING                       ST,34.0502,-118.2487
221806731,28/02/2022,12:00,18,Southeast,1822,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344 0385 1300,55,M,H,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,97TH                         ST,33.9483,-118.2739
221806685,28/02/2022,14:32,18,Southeast,1827,901,VIOLATION OF RESTRAINING ORDER,0913 2038,49,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,10100    BEACH                        ST,33.945,-118.2413
222006594,28/02/2022,6:30,20,Olympic,2023,900,VIOLATION OF COURT ORDER,2038 0913 1309,65,M,O,MOSQUE*,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,300 S  SERRANO                      AV,34.069,-118.3067
220206562,28/02/2022,9:00,2,Rampart,245,330,BURGLARY FROM VEHICLE,1822 0321 0344,36,F,H,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,500 S  CARONDELET                   ST,34.0627,-118.2782
220506275,28/02/2022,21:30,5,Harbor,585,510,VEHICLE - STOLEN,0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1100 W  25TH                         ST,33.7216,-118.3013
221906476,28/02/2022,12:00,19,Mission,1988,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0913 0553 0416 1258,9,F,H,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,13100    TONOPAH                      ST,34.2293,-118.4175
220405975,28/02/2022,13:06,4,Hollenbeck,402,440,THEFT PLAIN - PETTY ($950 & UNDER),344,50,F,W,YARD (RESIDENTIAL/BUSINESS),500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,3900    ELDERBANK                    DR,34.0932,-118.198
221106176,28/02/2022,13:30,11,Northeast,1151,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0411 0334 1218,20,F,H,STREET,223,UNKNOWN TYPE CUTTING INSTRUMENT,IC,Invest Cont,VERMONT,34.0956,-118.2918
220206486,28/02/2022,1:30,2,Rampart,249,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 0344 0321 1822 1606,26,F,B,PARKING UNDERGROUND/BUILDING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1000    WILSHIRE                     BL,34.0514,-118.2613
221906381,28/02/2022,14:10,19,Mission,1913,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0429 0602 2003 0554 0416 1402,28,F,H,SINGLE FAMILY DWELLING,302,BLUNT INSTRUMENT,AA,Adult Arrest,15400    COBALT                       ST,34.3095,-118.4671
221906399,28/02/2022,22:00,19,Mission,1991,510,VEHICLE - STOLEN,0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,15400    CABRITO                      RD,34.2166,-118.4682
220306749,28/02/2022,19:40,3,Southwest,334,354,THEFT OF IDENTITY,0100 1822 0922,33,F,H,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,3900 W  MONT CLAIR                   ST,34.0296,-118.3282
220107466,28/02/2022,18:45,1,Central,129,330,BURGLARY FROM VEHICLE,1822 0344 1609 0329,40,F,A,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,JACKSON,34.0511,-118.2334
221307159,28/02/2022,18:20,13,Newton,1347,310,BURGLARY,1822 1607 0344 0329 1608 0325 0321 0358,0,X,X,MANUFACTURING COMPANY,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1500 E  ADAMS                        BL,34.0151,-118.2471
220107483,28/02/2022,16:00,1,Central,148,310,BURGLARY,1606 0344 1822,0,X,X,OFFICE BUILDING/OFFICE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,600 E  5TH                          ST,34.0438,-118.2416
220107679,28/02/2022,17:00,1,Central,162,330,BURGLARY FROM VEHICLE,1307 0344 0329 1609,23,M,H,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,700 S  HOPE                         ST,34.048,-118.2577
221307146,28/02/2022,15:36,13,Newton,1345,624,BATTERY - SIMPLE ASSAULT,0913 0305 0400,18,F,H,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,1300 E  41ST                         ST,34.0104,-118.2535
221906383,28/02/2022,18:30,19,Mission,1998,940,EXTORTION,0500 1915,16,M,H,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,7800    CHERRYSTONE                  AV,34.212,-118.4364
222106387,28/02/2022,13:30,21,Topanga,2189,662,"BUNCO, GRAND THEFT",1822 1916,34,F,W,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,20100    VENTURA                      BL,34.171,-118.5709
221806656,28/02/2022,3:00,18,Southeast,1829,330,BURGLARY FROM VEHICLE,0329 1307 1822 1609 0344,28,F,H,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2000 E  101ST                        ST,33.9449,-118.2368
221406809,28/02/2022,20:00,14,Pacific,1407,510,VEHICLE - STOLEN,0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,3500    JASMINE                      AV,34.0275,-118.4064
220306736,28/02/2022,22:00,3,Southwest,391,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0913 0408 0448,49,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,4400 W  DON TOMASO                   DR,34.005,-118.3508
220306721,28/02/2022,13:05,3,Southwest,398,860,BATTERY WITH SEXUAL CONTACT,0500 0522 0551 0913 1810,47,F,B,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,700 W  41ST                         ST,34.0096,-118.2857
221207159,28/02/2022,21:36,12,77th Street,1231,210,ROBBERY,0334 0421 0342,0,X,X,MINI-MART,106,UNKNOWN FIREARM,IC,Invest Cont,4300 W  SLAUSON                      AV,33.9889,-118.3501
221806675,28/02/2022,19:30,18,Southeast,1801,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,0500 0908 1259 0943,17,F,W,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,FIGUEROA                     ST,33.951,-118.2827
221207146,28/02/2022,20:05,12,77th Street,1255,510,VEHICLE - STOLEN,0,0,X,X,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,FLORENCE                     AV,33.9746,-118.3035
220506268,28/02/2022,17:30,5,Harbor,529,761,BRANDISH WEAPON,0334 0387 1252 1822,45,F,H,STREET,207,OTHER KNIFE,AO,Adult Other,AVALON                       BL,33.78,-118.2624
222100580,28/02/2022,18:00,21,Topanga,2134,649,DOCUMENT FORGERY / STOLEN FELONY,0925 1402 1822 0377,52,M,X,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,7200    TOPANGA CANYON               BL,34.2034,-118.6135
221207137,28/02/2022,7:15,12,77th Street,1259,623,BATTERY POLICE (SIMPLE),2001 0356 1212 0411,0,M,H,DRIVEWAY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,600 E  76TH                         PL,33.9702,-118.2652
220906415,28/02/2022,19:00,9,Van Nuys,941,510,VEHICLE - STOLEN,0,0,X,X,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,HATTERAS,34.1757,-118.4487
220506259,28/02/2022,9:15,5,Harbor,555,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 0416 1814,22,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,600 W  SEPULVEDA                    ST,33.7451,-118.2901
220107562,28/02/2022,17:20,1,Central,141,647,THROWING OBJECT AT MOVING VEHICLE,1822 0447 1309 1310,58,M,B,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,4TH                          ST,34.0537,-118.2558
220107518,28/02/2022,19:00,1,Central,129,330,BURGLARY FROM VEHICLE,1307 0344 0329 1609 1822 1414,29,F,H,BAR/COCKTAIL/NIGHTCLUB,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,JACKSON,34.0511,-118.2334
221106154,28/02/2022,9:00,11,Northeast,1101,330,BURGLARY FROM VEHICLE,0344 0358 1609,39,M,W,PARK/PLAYGROUND,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,4700    CRYSTAL SPRINGS              DR,34.1321,-118.2796
221207158,28/02/2022,15:30,12,77th Street,1203,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0361,50,M,B,STREET,511,VERBAL THREAT,IC,Invest Cont,1600 W  46TH                         ST,34.0019,-118.3068
221806981,28/02/2022,21:00,18,Southeast,1844,624,BATTERY - SIMPLE ASSAULT,0305 0913 0602 0559 0444 1309,20,F,B,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,400 E  108TH                        ST,33.9383,-118.2674
220806345,28/02/2022,1:00,8,West LA,859,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0906 0216 2004 1218 0443,43,F,W,ALLEY,511,VERBAL THREAT,IC,Invest Cont,1700 S  LA CIENEGA                   BL,34.0495,-118.3805
220806342,28/02/2022,3:14,8,West LA,833,310,BURGLARY,1609 0342 1309 0213 0216,0,M,O,RESTAURANT/FAST FOOD,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1200    WESTWOOD                     BL,34.0588,-118.4439
220606847,28/02/2022,14:00,6,Hollywood,645,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 1501,20,M,O,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,HOLLYWOOD                    BL,34.1015,-118.3387
221000590,28/02/2022,15:30,10,West Valley,1021,901,VIOLATION OF RESTRAINING ORDER,2038 0913 0360,82,F,W,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,6900    BOTHWELL                     RD,34.1959,-118.5612
221806672,28/02/2022,15:30,18,Southeast,1862,624,BATTERY - SIMPLE ASSAULT,0913 0400 0446 0416,53,M,H,TRANSITIONAL HOUSING/HALFWAY HOUSE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,100 E  119TH                        ST,33.9247,-118.2739
222106205,28/02/2022,0:45,21,Topanga,2155,624,BATTERY - SIMPLE ASSAULT,431,21,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,22200    ERWIN                        ST,34.1829,-118.6102
220506252,28/02/2022,0:19,5,Harbor,509,624,BATTERY - SIMPLE ASSAULT,0416 0602 0360 0913,32,M,W,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,24200    PRESIDENT                    AV,33.8062,-118.3037
220606807,28/02/2022,18:00,6,Hollywood,656,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 1300 0329 0385,69,F,H,PARKING UNDERGROUND/BUILDING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,6100    ELEANOR                      AV,34.0898,-118.3244
221605929,28/02/2022,19:25,16,Foothill,1654,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385 1300,38,M,H,YARD (RESIDENTIAL/BUSINESS),500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,12400    MONTAGUE                     ST,34.2535,-118.4032
220206476,28/02/2022,10:45,2,Rampart,233,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0325 0344 0326,0,X,X,MARKET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2700    BEVERLY                      BL,34.0699,-118.2777
220806453,28/02/2022,23:00,8,West LA,829,510,VEHICLE - STOLEN,0,0,X,X,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,1500 S  BEVERLY GLEN                 BL,34.0612,-118.4253
221706045,28/02/2022,20:55,17,Devonshire,1738,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0443 1259 1251 0216 1300 0302 0913 1820 1310,15,F,H,STREET,102,HAND GUN,IC,Invest Cont,11000    HASKELL                      AV,34.2703,-118.476
222106463,28/02/2022,20:00,21,Topanga,2189,320,"BURGLARY, ATTEMPTED",1609,60,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,20500    VENTURA                      BL,34.1677,-118.5808
